"text","word_scores","compound","pos","neu","neg","but_count"
"<U+203C><U+FE0F> what's that? it's only one month left until the global climate strike? are you excited? we are! this March 19th we're telling leaders #NoMoreEmptyPromises! we need immediate action!

read our full narrative and initial list of immediate action points at https://t.co/UrO8ZEXf0z https://t.co/6ZWdePENGr","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5, 0, 0, 1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.513,0.082,0.885,0.032,0
"#EUMercosur is a crooked deal that stands for more pesticides, Amazon destruction and human rights abuse! It's a risk for the EU and for Latin Americas local markets and peoples wellbeing @vonderleyen stop supporting ecocide and #SayNoEUMercosur!","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.97835, -2.9637, 0, 0, 0, -3.2, 0, 0, -1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.2, 1.9, 0, 0, 0}",-0.847,0.1,0.634,0.267,0
"Bolsonaro lets indigenous peoples die of Covid19 and auctions the Amazon to oil companies. Criminal proceedings are ongoing against Bolsonaro at the ICC because of his inhumane policy  @vonderleyen

https://t.co/Fe1J5o6j2V","{0, 0, 0, 0, -2.9, 0, 0, 0, 0, 0, 0.7, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.765,0.047,0.75,0.203,0
".@antoniocostapm, splitting the deal will legitimize Brazil's inhuman policy and worsen Amazon fires and human rights abuse.#SayNoEUMercosur stop the genocide and make your aim a safer world.","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.3, 0.7, 0, 0, 0, 0, 0, -1.2, 0, 0, 0, 0, 0, 0, 0, 1.8, 0}",-0.25,0.136,0.697,0.167,0
"power and love she spreads even though the climate crisis is the greatest challenge facing humanity.

As one movement we #StandWithDishaRavi and say #FreeDishaRavi","{0, 0, 3.2, 0, 0, 0, 0, 0, 0, -3.1, 0, 0, 3.2, 0.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.681,0.287,0.592,0.121,0
"world, understand, there is no climate justice without social justice. We must speak up for those who do not have a voice, and we must listen to our fellow activists who are closer to communities affected by climate crisis

We have the greatest respect for all she does and the","{0, 0, 0, 0, 0, 0, -1.776, 0, 0, -1.776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.6, 0, 0, -3.1, 0, 0, 0, 3.2, 2.1, 0, 0, 0, 0, 0, 0}",-0.45,0.117,0.703,0.18,0
"We are a global movement and we stand in solidarity with all our activists.
We support and stand in solidarity with Disha Ravi and others who have been arrested. 

Disha does amazing work and fights for rights of the marginalised communities. She, like many other around the https://t.co/Eohzj7dKqE","{0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 1.7, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 2.8, 0, 0, -1.7, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0}",0.765,0.223,0.681,0.096,0
"People of the world, we must raise our voices against the financing of the climate crisis. Our ecosystems and frontline communities are under threat from major global polluters like @StanChart. 
The world needs you. We need you. Join us to demand #CleanUpStandardChartered <U+203C><U+FE0F> https://t.co/jwXNenGER2","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3.1, 0, 0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, -2.27835, 1.7637, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, -0.5, 0, 0, 0}",-0.808,0.09,0.688,0.222,0
".@StanChart while you prioritize filling your pockets with wealth, our most vulnerable communities suffer a living hell due to the climate crisis. Our homelands are flooding but you donâ€™t care, because money speaks louder, right<U+2049><U+FE0F>#NoMoreEmptyPromises #CleanUpStandardChartered https://t.co/4H40VcrgH7","{0, 0, 0, 0, 0, 0, 0, 0, 1.1, 0, 0, -0.5965, 0, -1.38185, 0, 0, -1.8, 0, 0, 0, 0, -1.55, 0, 0, 0, 0, 0, 0, 0, 3.3, 0, 0, 0, 0, 0, 0, 0}",-0.233,0.137,0.663,0.2,1
".@StanChart is fueling the climate crisis <U+0001F525> While they pretend to be decarbonising in their greenwashing advertisements, they are investing billions in fossil fuel projects all around the world, particularly in MAPA countries. Join us to demand #CleanUpStandardChartered <U+203C><U+FE0F> https://t.co/uHCbQKQ0gq","{0, 0, 0, 0, 0, -3.1, 0, 0, 0, -0.4, 0, 0, 0, 0, 0, -0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, -0.5, 0, 0, 0}",-0.637,0.048,0.768,0.184,0
".@StanChart if you really believe the progress doesnâ€™t have to cost our planet, then stop financing the collapse of global ecosystems. Our homelands are not your means for profit ! <U+270A><U+0001F3FF>  #RaiseYourStandards #NoMoreEmptyPromises 
<U+0001F440><U+27A1><U+FE0F> https://t.co/OYvg8DXYZ9 https://t.co/pJkRk6VABY","{0, 0, 0, 0, 0, 0, 2.0637, 0, 0, 0, 0, 0, 0, 0, -1.2, 0, 0, -2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0}",0.216,0.143,0.733,0.124,0
"<U+0001F6A8>@StanChart pretends to be committed to sustainability, yet itâ€™s one of the worldâ€™s largest coal financiers since the Paris Agreement. Itâ€™s time to end their dirty business. Join us in our call: #CleanUpStandardChartered <U+203C><U+FE0F>
<U+0001F440><U+27A1><U+FE0F>: https://t.co/OYvg8DXYZ9 https://t.co/s1aHMLZPaz","{0, -0.4, 0, 0, 1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, -1.9, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.494,0.171,0.731,0.098,0
"Drinking water in Sweden be like: https://t.co/BsN5wsFVEU","{0, 0, 0, 0, 0, 1.5, 0}",0.361,0.294,0.706,0,0
"hey @StanChart you say you're ""here for good"" yet you've provided $24 billion to fossil fuels since the Paris Agreement. We see right through you. #CleanUpStandardChartered #RaiseYourStandards

https://t.co/xO10MqXpDk https://t.co/X50e5cPOki","{0, 0, 0, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.727,0.184,0.816,0,0
"â€œWeâ€™ve committed 75 billion dollars to funding sustainable projectsâ€ LOL@StanChart Surely you know that the climate doesnâ€™t work that way. You can never undo the evils you have committed, but you can stop. We wonâ€™t give up until you do. https://t.co/Jd1wOfYCy0 #RaiseYourStandards","{0, 0.55, 0, 0, 0, 0, 0, 0, 0, 0, 0.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.999, 0, 0, 0.55, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.307,0.15,0.79,0.06,1
"In your latest ad u feature various fauna prancing around in pristine nature, then at the same time finance numerous fossil fuel companies. @StanChart we know what greenwashing looks like &amp; weâ€™re not here for it. Take actions with us at https://t.co/Jd1wOfYCy0 #RaiseYourStandards","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.4, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.273,0.056,0.913,0.031,0
"13 activists from 11 countries have written a letter to Standard Chartered Bank CEO, Bill Winters to call to #CleanUpStandardChartered. We stand together and we stand tall. We are all running out of time. @StanChart we need you to #RaiseYourStandards. https://t.co/sfBfkTAQFk","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"Join us tomorrow for the action call! https://t.co/ZRyVlqY1qd
#CleanUpStandardChartered #RaiseYourStandards","{1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.359,0.217,0.783,0,0
"Global Strikers<U+203C><U+FE0F>
Weâ€™re launching an international campaign to Decarbonize @StanChart, the UK's largest fossil fuel investor. Join us again tomorrow!

Sample tweets here: https://t.co/xO10MqXpDk

#CleanUpStandardChartered #RaiseYourStandards https://t.co/SBMMN1RPeg","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.359,0.087,0.913,0,0
"they keep deleting but they can't stop us! we've only just begun ;) https://t.co/mlePppR3SD","{0, 0, 0, 0, 0, 0, 1.332, 0, 0, 0, 0, 0, 1.35, 0}",0.609,0.293,0.707,0,1
".@StanChart we still have concerns <U+0001F485>

#RaiseYourStandards #CleanUpStandardChartered https://t.co/rIwwalg3Ud","{0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"more comments deleted! https://t.co/JL2Hs2jzHw","{0, 0, 0, 0}",0,0,1,0,0
"here you see how they've deleted some of our comments! but there are new one now ofc ;) https://t.co/rluL6iaJSJ","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.35, 0}",0.39,0.128,0.872,0,1
"BREAKING: @StanChart censors our tweets! Today, we've started to expose your dirty investments in coal, oil &amp; gas all around the world. Now you're deleting facts &amp; blocking us

Are you afraid of a bunch of kids exposing your coal investments? 

It's time to #RaiseYourStandards! https://t.co/PJFQHrCGHw","{0, 0, -1.2, 0, 0, 0, 0, 0, 0, -0.6, 0, -1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.1, 0, 0, 0, 0, 0, 0, 0, 0}",-0.875,0,0.774,0.226,0
"@StanChartJobs â€œwEâ€™Ve CoMmItTeD 75 bIlLiOn dOlLarS tO FUndINg SUStaiNablE prOjEcTsâ€ LOL Surely you know that the climate doesnâ€™t work that way. We wonâ€™t give up until you do. Take action with us at https://t.co/Mm0eZ9HE9Q  #RaiseYourStandards","{0, 0, 1.1, 0, 0, 0, 0, 0, 0, 0, 3.083, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.844,0.221,0.779,0,0
"@StanChartNG .@StanChart while u prioritize filling your pockets with wealth, our most vulnerable communities suffer a hell in life due to the climate crisis. Our homelands are flooding but you donâ€™t care, because money speaks louder, right<U+2049><U+FE0F> #CleanUpStandardChartered https://t.co/OYvg8DXYZ9","{0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1, 0, 0, -0.5965, 0, -1.38185, 0, -1.8, 0, 0, 0, 0, 0, 0, -1.55, 0, 0, 0, 0, 0, 0, 0, 3.3, 0, 0, 0, 0, 0, 0, 0}",-0.233,0.131,0.677,0.191,1
"@GreatCityRace .@StanChart Is the word Standard in your name for the Climate Destruction Standard youâ€™re setting? #CleanUpStandardChartered #RaiseYourStandards learn more at https://t.co/OYvg8DXYZ9","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.572,0,0.85,0.15,0
"@GreatCityRace â€œwEâ€™Ve CoMmItTeD 75 bIlLiOn dOlLarS tO FUndINg SUStaiNablE prOjEcTsâ€ LOL Surely you know that the climate doesnâ€™t work that way. We wonâ€™t give up until you do. Take action with us at https://t.co/Mm0eZ9HE9Q  #RaiseYourStandards","{0, 0, 1.1, 0, 0, 0, 0, 0, 0, 0, 3.083, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.844,0.221,0.779,0,0
"@StanChartHelp â€œwEâ€™Ve CoMmItTeD 75 bIlLiOn dOlLarS tO FUndINg SUStaiNablE prOjEcTsâ€ LOL Surely you know that the climate doesnâ€™t work that way. We wonâ€™t give up until you do. Take action with us at https://t.co/Mm0eZ9HE9Q  #RaiseYourStandards","{0, 0, 1.1, 0, 0, 0, 0, 0, 0, 0, 3.083, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.844,0.221,0.779,0,0
"@StanChartUAE â€œwEâ€™Ve CoMmItTeD 75 bIlLiOn dOlLarS tO FUndINg SUStaiNablE prOjEcTsâ€ LOL Surely you know that the climate doesnâ€™t work that way. We wonâ€™t give up until you do. Take action with us at https://t.co/Mm0eZ9HE9Q  #RaiseYourStandards","{0, 0, 1.1, 0, 0, 0, 0, 0, 0, 0, 3.083, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.844,0.221,0.779,0,0
"@StanChart @wef For years @StanChart has pledged to become green. Here's how they're doing:

<U+274C> Biggest financer for coal expansion since Paris Accord in the UK
<U+274C> $24 B investments into coal, oil &amp; gas in 6 years
<U+274C> Most projects in countries most affected by climate crisis

#RaiseYourStandards","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.893, 0, 0, -3.1, 0}",-0.718,0,0.887,0.113,0
"@StanChart @wef Hey, @StanChart: This is your call to phase out of fossil fuels. ""Your money kills people, fuels the climate crisis, and destroys our homes.""

It's time to stop funding our destruction! It's time to #RaiseYourStandards!
https://t.co/le7RixTi4i","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5, 0, 0, 0, 0, -3.1, 0, -2.6, 0, 0, 0, 0, 0, -1.2, 0, 0, -2.7, 0, 0, 0, 0, 0}",-0.956,0,0.651,0.349,0
"@StanChartJobs For years, @StanChart has pledged to become green. Here's how they're doing:

<U+274C> Biggest financer for coal expansion since 2017 in the UK
<U+274C> $24 billion investments into coal, oil &amp; gas in 6 years
<U+274C> Most projects in countries most affected by climate crisis

#RaiseYourStandards","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.893, 0, 0, -3.1, 0}",-0.718,0,0.882,0.118,0
"@StanChart @LFC Hey, @StanChart: This is your call to phase out of fossil fuels. ""Your money kills people, fuels the climate crisis, and destroys our homes.""

It's time to stop funding our destruction! It's time to #RaiseYourStandards!
https://t.co/le7RiyaTsS","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.5, 0, 0, 0, 0, -3.1, 0, -2.6, 0, 0, 0, 0, 0, -1.2, 0, 0, -2.7, 0, 0, 0, 0, 0}",-0.956,0,0.651,0.349,0
"@StanChart @wto Global heating of 1.2Â°C is already killing the people most affected by the #climatecrisis. One of the biggest financiers of fossil fuels worldwide, @StanChart, is investing in new projects in exactly those places like the Philippines &amp; Indonesia. It's time to #RaiseYourStandards!","{0, 0, 0, 0, 0, 0, 0, 0, -3.4, 0, 0, 0, -0.893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0}",-0.623,0.05,0.819,0.131,0
"@StanChart @Clamco With #COP26 coming up in GB, @StanChart must phase out of fossil fuels. Since the Paris Agreement they have channeled coal, oil &amp; gas with $24 billion! The majority of these investments are in countries most affected by the climate crisis. It's time to #RaiseYourStandards!","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.893, 0, 0, 0, -3.1, 0, 0, 0, 0}",-0.523,0.06,0.818,0.122,0
"@StanChart @Gloat_com Global heating of 1.2Â°C is already killing the people most affected by the #climatecrisis. One of the biggest financiers of fossil fuels worldwide, @StanChart, is investing in new projects in exactly those places like the Philippines &amp; Indonesia. It's time to #RaiseYourStandards!","{0, 0, 0, 0, 0, 0, 0, 0, -3.4, 0, 0, 0, -0.893, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.5, 0, 0, 0, 0, 0, 0, 0, 0}",-0.623,0.05,0.819,0.131,0
"The #sosamazonia campaign by activists from
@fridaysfuturebr finally reached the goal of 1 million! Together with @fasamazonia we mobilized resources to combat COVID-19 in Amazonas. This wouldn't have been possible without everyone's help! Learn more at https://t.co/nuCTSTJctw! https://t.co/mPoKlLIcug","{0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.258, 0, 0, 0, 0, 0}",-0.629,0.033,0.835,0.132,0
"""If profit is continuously chosen over our lives, a downpour worse than ashfall and the strongest typhoon is going to come. The Fridays for Future movement is here to collect the dues you owe to the people. We have only just begun"" 

<U+0001F514>read this!
by @mitzijonelle about @StanChart https://t.co/RntacPRly3","{0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, -2.1, 0, 0, 0, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0.457,0.11,0.833,0.056,0
"@GretaThunberg https://t.co/dcvF7LFhkW","{0, 0}",0,0,1,0,0
"Speaking out against Global Human Rights violations by any state doesnt mean that you hate that country or people. We will always support&amp;stand with people in solidarity everywhere in the world. 
#FarmersProtest
Helpful resources to know more: 
https://t.co/QUg9hHuS4l","{0, 0, 0, 0, 0, 0, -2.4, 0, 0, 0, 0, 0, 0, 0, -2.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 1.8, 0, 0, 0, 0, 0}",-0.477,0.108,0.738,0.154,0
"Even if you are only 15 years old, then 30% of all global fossil fuel CO2 emissions since 1751 have occurred in your lifetime.
This really shows the historic responsibility of our current leaders. https://t.co/sZIMG8NhkY","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",0,0,1,0,0
"This report is ""a red alert for our planet"" says UN Secretary General @antonioguterres
As long as this doesn't dominate the news we stand no chance of reaching the targets of the Paris Agreement and thereby securing future living conditions for humanity.
#FaceTheClimateEmergency https://t.co/8tdFO5oXRw","{0, 0, 0, 0, 0, 1.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.37, 0, 0, 0, 0, 0, -0.74, 0, 0.8, 0, 0, 0, 0, 0, 2.2, 0, 0, 1.3, 0, 0, 0, 0, 0, 0, 0}",0.798,0.215,0.751,0.034,0
"This is outrageous... I hope we will receive more information on whatâ€™s happening shortly...
#defendthedefenders #climatejustice https://t.co/CehxSAXv36","{0, 0, -2, 0, 1.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.026,0.139,0.718,0.144,0
"According to a new UN report the national targets (NDC) made so far put us on a path to achieve only a 1% reduction of greenhouse gases by 2030.
Iâ€™ll repeat that; 1%.

Our leaders are failing mankind completely. And media is letting them get away with it.
https://t.co/RJ8hBv0XMV","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.511,0,0.936,0.064,0
"School strike week 132.
#climatestrikeonline
#fridaysforfuture #schoolstrike4climate #FaceTheClimateEmergency https://t.co/E7nEvLLzpv","{0, -0.5, 0, 0, 0, 0, 0, 0, 0}",-0.128,0,0.842,0.158,0
"""If a company or individual says to me they are net-zero I know it is complete crap. I wish our climate leaders would say the same. Demonstrate the climate challenge, not the art of the greenwash.""
Read this thread about today's so-called ""net zero"" https://t.co/8j6MG3mDdD","{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.6, 0, 1.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 0, 0, 0, 0, 0, -1.8, 0, 0, 0, 0, 0, 0, 0, 0, 0}",-0.34,0.079,0.813,0.107,0
